Comment,Description,Designator,Footprint,LibRef,Quantity

"0.1u","Capacitor (Semiconductor SIM Model)","C1, C2, C3, C4, C5, C7, C8, C9, C10, C11, C12, C14, C15, C17, C18, C20","1608[0603]","Cap Semi","16"
"10uF","Polarized Capacitor (Surface Mount)","C16, C19, C21","C1206","Cap Pol3","3"
"NP","Capacitor (Semiconductor SIM Model)","C22","1608[0603]","Cap Semi","1"
"LED","Typical RED, GREEN, YELLOW, AMBER GaAs LED","D1, D2","3.2X1.6X1.1","LED2","2"
"Bead","Inductor","L1, L2","INDC1608L","Inductor","2"
"NP","Inductor","L3","INDC3216","Inductor","1"
"CCD","CCD","Lens1, Lens2","CCD_LENS_20MM","lensCCD_20","2"
"MT9V034","CMOS","MT1, MT2","CLCC_48","MT9V034","2"
"NPN","NPN Bipolar Transistor","Q1, Q2","SOT23_N","NPN","2"
"330","Resistor","R1, R12","J1-0603","Res1","2"
"1K5","Resistor","R2, R3, R4, R5, R6, R7","J1-0603","Res1","6"
"4K7","Resistor","R8, R14","J1-0603","Res1","2"
"12K","Resistor","R9, R15","J1-0603","Res1","2"
"0R","Resistor","R10, R11","0402","Res1","2"
"NP","Resistor","R13, R18, R19","0402","Res1","3"
"NP","Resistor","R16, R17","J1-0603","Res1","2"
"Teensy3_6","","U1","Teensy3.6-most-pins","Teensy3_6","1"
"TPS79333","200-mA Low-Dropout Linear Regulator","U2, U3","SOT23-5_L","TPS79333","2"
"NP","1.5MHz SYNCHRONOUS STEP-DOWN DC-DC CONVERTER","U4","SOT23-5_L","AP3417C","1"
